,year,country,activity,age,species_,mes,fatal,sex,especie tiburon,age_ok
62,2016,usa,Fishing,59,dogfish shark,Jul,N,M,Unspecified,59
63,2016,australia,Fishing,34,Tawny nurse shark,Jul,N,M,Unspecified,34
64,2016,usa,Floating,42,3' to 5' shark,Jun,N,M,Unspecified,42
65,2016,usa,Floating in tube,6,3' to 4' shark,Jun,N,F,Unspecified,6
66,2016,usa,Standing,19,3' shark,Jun,N,M,Unspecified,19
67,2016,usa,Surfing,27,Said to involve an 8' shark but more likely damage caused by debris,Jun,,M,Unspecified,27
68,2016,australia,Diving,60,3+ m shark,Jun,Y,F,Unspecified,60
69,2016,egypt,Swimming,23,Mako shark,Jun,N,M,Unspecified,23
70,2016,australia,Surfing,29,White shark,May,Y,M,White shark,29
71,2016,usa,Swimming,13,5' shark,May,N,M,Unspecified,13
72,2016,usa,Swimming,22,"Bull shark, 4' to 5'",May,N,F,Bull shark,22
73,2016,usa,Swimming,48,"Blacktip shark, 4'",May,N,M,Unspecified,48
74,2016,usa,Teasing a shark,23,"Nurse shark, 2'",May,N,F,Unspecified,23
75,2016,new zealand,Fishing,39,"Mako shark, 1.5 m [5'] ",May,N,M,Unspecified,39
76,2016,indonesia,Surfing,24,"Bull shark, 6'",Apr,N,M,Bull shark,24
77,2016,australia,Swimming,12,Wobbegong shark,Apr,N,M,Unspecified,12
78,2016,french polynesia,Spearfishing,22,"Grey reef shark, 2 m",Apr,,M,Grey shark,22
79,2016,french polynesia,Spearfishing,26,"Grey reef shark, 2 m",Apr,N,M,Grey shark,26
80,2016,new caledonia,Walking,69,"Tiger shark, 2.5 m",Apr,Y,F,Tiger shark,69
81,2016,usa,Paddle boarding,48,"Tiger shark, 14'",Jan,N,M,Tiger shark,48
82,2016,australia,Wading,11,Blacktip shark,Jan,N,M,Unspecified,11
83,2016,australia,Spearfishing,31,3 m shark,Jan,N,M,Unspecified,31
84,2015,usa,Paddle boarding,71,9' shark,Dec,N,M,Unspecified,71
85,2015,australia,Surfing,43,"Bronze whaler shark, 6'",Dec,N,M,Unspecified,43
86,2015,ecuador,Snorkeling,55,Galapagos shark,Nov,N,M,Unspecified,55
87,2015,australia,Surfing,20,"Bull shark, 2.8 to 3.1 m",Nov,N,M,Bull shark,20
88,2015,usa,Surfing,9,Shark involvement not confirmed,Nov,,F,Unspecified,9
89,2015,usa,Wading,28,3' to 5' shark,Nov,N,F,Unspecified,28
90,2015,south africa,Surfing,42,"White shark, 3 to 3.5m ",Oct,N,M,White shark,42
91,2015,usa,Surfing,21,5' shark,Oct,N,M,Unspecified,21
92,2015,usa,Surfing,21,"Spinner shark, 5'",Oct,N,M,Unspecified,21
93,2015,usa,Surfing,32,No shark involvement,Oct,,M,Unspecified,32
94,2015,usa,Swimming,44,"Tiger shark, 7'",Oct,N,M,Tiger shark,44
95,2015,usa,Surfing,25,"Tiger shark, 13' ",Oct,N,M,Tiger shark,25
96,2015,usa,Wading,13,4' to 5' shark,Oct,N,M,Unspecified,13
97,2015,usa,Surfing,14,"Blacktip shark, 4' to 5'",Oct,N,M,Unspecified,14
98,2015,usa,Surfing,22,"Blacktip shark, 5' to 6'",Sep,N,M,Unspecified,22
99,2015,usa,Surfing,14,juvenile shark,Sep,N,M,Unspecified,14
100,2015,usa,Spearfishing,27,"Tiger shark, 13'",Sep,N,M,Tiger shark,27
101,2015,usa,Wading,12,4' shark,Sep,N,M,Unspecified,12
102,2015,australia,Surfing,42,6' shark,Sep,N,M,Unspecified,42
103,2015,usa,Stand-Up Paddleboarding,50,"White shark, 11' to 12'",Sep,N,F,White shark,50
104,2015,usa,Kayak Fishing,29,Hammerhead shark.,Sep,N,M,Unspecified,29
105,2015,australia,Surf-skiing,62,"White shark, 2.5 m",Sep,N,M,White shark,62
106,2015,thailand,Wading,37,small shark,Sep,N,F,Unspecified,37
107,2015,usa,Surfing,54,"White shark, 11' to 12'",Aug,N,F,White shark,54
108,2015,usa,Surfing,21,"White shark, 10' to 12' ",Aug,N,M,White shark,21
109,2015,usa,Surfing,15,4' shark,Aug,N,M,Unspecified,15
110,2015,usa,Walking,10,3' shark,Aug,N,F,Unspecified,10
111,2015,usa,Kayak Fishing,22,"White shark, 13'",Aug,N,M,White shark,22
112,2015,spain,Swimming,10,Shark involvement not confirmed,Aug,,M,Unspecified,10
113,2015,usa,Spearfishing,57,Hammerhead shark. 6' to 7',Aug,N,M,Unspecified,57
114,2015,australia,Surfing,52,White shark,Jul,N,M,White shark,52
115,2015,usa,Surfing,25,"Blacktip or spinner shark, 4'",Jul,N,M,Unspecified,25
116,2015,usa,Floating,35,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",Jul,,F,Unspecified,35
117,2015,australia,Scallop diving on hookah,46,"White shark, 3.9 to 4.2 m",Jul,Y,M,White shark,46
118,2015,usa,Surfing,38,"White shark, 7'",Jul,N,M,White shark,38
120,2015,australia,Body boarding ,32,White shark,Jul,N,M,White shark,32
121,2015,usa,Swimming,68,6' to 7' shark,Jul,N,M,Unspecified,68
122,2015,usa,Playing in the water,12,4' to 5' shark,Jun,N,M,Unspecified,12
123,2015,usa,Swimming,18,Bull shark,Jun,N,M,Bull shark,18
124,2015,south africa,Body Boarding,19,White shark,Jun,N,M,White shark,19
125,2015,south africa,Surfing,23,"White shark, 2m to 3 m",Jun,N,M,White shark,23
126,2015,usa,Standing,43,4' shark,Jun,N,M,Unspecified,43
127,2015,usa,Swimming,6,Sandtiger shark,Jun,N,M,Unspecified,6
128,2015,australia,Surfing,37,White shark,Jun,N,F,White shark,37
129,2015,usa,Wading,16,Bull shark,Jun,N,M,Bull shark,16
130,2015,usa,Wading,12,Bull shark,Jun,N,F,Bull shark,12
131,2015,usa,Boogie boarding,13,4' shark,Jun,N,F,Unspecified,13
132,2015,usa,Playing,11,"Bull shark, 5'",Jun,N,M,Bull shark,11
133,2015,reunion,Surfing,47,"Bull shark, 2.5 m",Jun,N,M,Bull shark,47
134,2015,french polynesia,Spearfishing,19,1m to 1.2 m shark,May,N,M,Unspecified,19
135,2015,usa,Surfing,18,5' shark,,N,M,Unspecified,18
136,2015,south africa,Diving,29,"White shark, 3.5 m",May,N,M,White shark,29
137,2015,usa,Wading,63,3- to 4-foot shark,Apr,N,M,Unspecified,63
138,2015,australia,Surfing,26,"White shark, 6 m",Apr,N,M,White shark,26
139,2015,australia,Surf skiing ,71,"White shark, 3 m",Jun,N,M,White shark,71
140,2015,reunion,Surfing,13,Bull shark,Apr,Y,M,Bull shark,13
141,2015,usa,Spearfishing,70,Bull shark,Apr,N,M,Bull shark,70
142,2015,brazil,Surfing,23,No shark involvement,Mar,,M,Unspecified,23
143,2015,usa,Standing / Snorkeling,58,"Tiger shark, 8 to 12 feet",Mar,N,M,Tiger shark,58
144,2015,french polynesia,Hand feeding sharks,9,Blacktip shark,Mar,N,M,Unspecified,9
145,2015,reunion,Swimming,22,"Tiger shark, 3.5 m",Feb,Y,F,Tiger shark,22
146,2015,australia,Surfing,41,3.5 to 4 m shark,Feb,Y,M,Unspecified,41
147,2015,australia,Surfing,35,2 m to  3 m shark,Feb,N,M,Unspecified,35
148,2015,australia,Rowing,57,"Bull shark, 1.3 m",Jan,N,M,Bull shark,57
149,2015,usa,Shark fishing,20,4' shark,Jan,N,M,Unspecified,20
150,2015,bahamas,Snorkeling,34,White shark or oceanic whitetip shark,Jan,N,F,White shark,34
151,2015,south africa,Surfing,15,"Raggedtooth shark, 1.3 m",Jan,N,M,Unspecified,15
152,2014,australia,Spearfishing,17,"White shark, 4 to 5 m",Dec,Y,M,White shark,17
153,2014,usa,Surfing,50,"White shark, 8' to 10'",Dec,N,M,White shark,50
154,2014,australia,Fishing,40s,1.5 m shark,Dec,N,M,Unspecified,40
155,2014,australia,Spearfishing,17,Tiger shark,Dec,Y,M,Tiger shark,17
156,2014,usa,Surfing,44,2' shark,Nov,N,M,Unspecified,44
157,2014,usa,Snorkeling,53,1.5 m shark,Nov,N,M,Unspecified,53
158,2014,usa,Surfing,34,"Tiger shark, 12'",Oct,N,F,Tiger shark,34
159,2014,australia,Surfing,13,1 m shark,Oct,N,F,Unspecified,13
160,2014,usa,Surfing,29,Blacktip shark,Oct,N,M,Unspecified,29
161,2014,usa,Surfing,15,Blacktip shark,Oct,N,M,Unspecified,15
162,2014,usa,Surfing,28,8' to 10' shark,Oct,N,M,Unspecified,28
163,2014,australia,Surfing,23,"2 white shark: 13' & 9""8""",Oct,N,M,Unspecified,23
164,2014,australia,Swimming,50,7' shark,Sep,Y,M,Unspecified,50
165,2014,usa,Fishing ,43,Bull shark,Sep,N,M,Bull shark,43
166,2014,usa,Kayaking ,20s,"White shark, 12' to 14'",Sep,N,F,White shark,20
167,2014,usa,Fishing,52,3' to 4' shark,Sep,N,M,Unspecified,52
168,2014,usa,Body surfing,13,Spinner shark,Aug,N,F,Unspecified,13
169,2014,usa,Swimming,7," Bull shark, 5'",Aug,N,M,Bull shark,7
170,2014,usa,Boogie boarding,10,4' tp 5' shark,Aug,N,M,Unspecified,10
171,2014,south africa,Surfing,20,White shark,Aug,N,M,White shark,20
172,2014,usa,Swimming,61,6' to 8' shark,Jul,N,M,Unspecified,61
173,2014,usa,Swimming,39,4' shark,Jul,N,M,Unspecified,39
174,2014,bahamas,Shark diving,63,Shark involvement not confirmed,Jul,,M,Unspecified,63
175,2014,usa,Body surfing,19,4' to 5' shark,,N,M,Unspecified,19
176,2014,usa,Standing,16," Sandbar shark, 3' to 4'",Jun,N,M,Unspecified,16
177,2014,australia,Body boarding,39,"Bronze whaler shark, 1.5m",Jun,N,M,Unspecified,39
178,2014,usa,Swimming,22,Bull shark,Jun,N,F,Bull shark,22
179,2014,australia,Surfing,35," white shark, 15' ",May,N,M,Unspecified,35
180,2014,usa,Swimming,40,4' to 5' shark,May,N,F,Unspecified,40
181,2014,usa,Surfing,23,3' shark,May,N,M,Unspecified,23
182,2014,australia,Swimming,63,3 m to 4 m white shark,Apr,Y,F,Unspecified,63
183,2014,australia,Diving for lobsters,38,Shark involvement prior to death not confirmed,Mar,,M,Unspecified,38
184,2014,south africa,Swimming,66,2 m shark,Mar,Y,M,Unspecified,66
185,2014,french polynesia,Kitesurfing,21,Blacktip reef shark ,Feb,N,M,Unspecified,21
186,2014,new zealand,Surfing,28,7-gill shark?,Feb,N,M,Unspecified,28
187,2013,new caledonia,Snorkeling,37,Reported to involve a bull shark,Dec,N,M,Unspecified,37
188,2013,south africa,Surfing,19,"White shark, 3m ",Dec,N,M,White shark,19
189,2013,usa,Boogie boarding,29,"Tiger shark, 10' to 12'",Dec,N,M,Tiger shark,29
190,2013,usa,Surfing,30,4' to 6' shark,Dec,N,M,Unspecified,30
191,2013,australia,Surfing,26," Wobbegong shark, 1.6 to 1.8m ",Dec,N,M,Unspecified,26
192,2013,australia,Body boarding,19,"Tiger shark, 3m ",Nov,Y,M,Tiger shark,19
193,2013,australia,Surfing,35,Thought to involve a white shark,Nov,Y,M,Unspecified,35
194,2013,usa,Surfing,25,"White shark, 10 '",Nov,N,M,White shark,25
195,2013,usa,Kiteboarding,46,Tiger shark,Oct,N,M,Tiger shark,46
196,2013,australia,Snorkeling,60,"Blacktip reef shark, 1m",Oct,N,F,Unspecified,60
197,2013,reunion,Body boarding,24,Thought to involve a bull shark,Oct,N,M,Unspecified,24
198,2013,australia,Surfing,41,Wobbegong shark,Oct,N,M,Unspecified,41
199,2013,usa,Diving ,45,"Whitetip reef shark, 4' to 6'",Oct,N,M,Unspecified,45
200,2013,usa,Surfing,25,Tiger shark,Oct,N,M,Tiger shark,25
201,2013,usa,Wading,6,Nurse shark?,Oct,N,M,Unspecified,6
202,2013,south africa,Swimming / snorkeling,74,White shark,Oct,Y,M,White shark,74
203,2013,australia,Diving for Abalone,55,White shark,Oct,N,M,White shark,55
204,2013,usa,Surfing,45,"White shark, 8' to 10'",Oct,N,M,White shark,45
205,2013,usa,Swimming,21,Bull shark,,N,M,Bull shark,21
206,2013,usa,Surfing,13,3' shark,,N,F,Unspecified,13
207,2013,usa,Surfing,43,3' shark,,N,M,Unspecified,43
208,2013,usa,Standing,25,3' shark,,N,M,Unspecified,25
209,2013,usa,Casting a net,9,4' shark,,N,M,Unspecified,9
210,2013,usa,Snorkeling,20,Tiger shark?,,Y,F,Tiger shark,20
211,2013,usa,Surfing,10,"Bull shark, 8'",Aug,N,M,Bull shark,10
212,2013,usa,Fishing,17,"Bull shark, 6' to 8'",,N,M,Bull shark,17
213,2013,bahamas,Spearfishing,40,6' shark,Jul,N,M,Unspecified,40
214,2013,usa,Surfing,18,"Tiger shark, 8' to 10' ",,N,M,Tiger shark,18
215,2013,bahamas,Cleaning fish,64,Nurse shark,Jul,N,M,Unspecified,64
216,2013,usa,Swimming,14,4' to 5' shark,Jun,N,M,Unspecified,14
217,2013,usa,Swimming,28,"Tiger shark, 14'",Jun,N,M,Tiger shark,28
218,2013,usa,Boogie Boarding,10,4' to 5' shark,,N,F,Unspecified,10
219,2013,ecuador,Surfing,29,Galapagos shark,May,N,M,Unspecified,29
220,2013,reunion,Body boarding,36,Bull shark,May,Y,M,Bull shark,36
221,2013,usa,Surfing,16,a small shark,May,N,M,Unspecified,16
222,2013,mexico,Swimming,34,Tiger shark,Apr,N,F,Tiger shark,34
223,2013,australia,Fishing,51,"Grey nurse shark, 3m",Apr,N,M,Grey shark,51
224,2013,usa,Playing in the surf,9,3' shark,Apr,N,M,Unspecified,9
225,2013,usa,Surfing,21,Bull shark,Apr,N,M,Bull shark,21
226,2013,french polynesia,Kite boarding,53,Possibly a blacktip reef shark,Apr,N,M,Unspecified,53
227,2013,usa,Surfing,58,4' shark,Apr,N,M,Unspecified,58
228,2013,south africa,Fishing - 'tag & release',30,"Raggedtooth shark, 1.5 m",Mar,N,M,Unspecified,30
229,2013,jamaica,Spearfishing,68,"Tiger shark, 4.8 m",Mar,Y,M,Tiger shark,68
230,2013,australia,Spearfishing,28,"Bronze whaler shark, 2.5m",Mar,N,M,Unspecified,28
231,2013,new zealand,Swimming,46,"White shark, 4m",Feb,Y,M,White shark,46
232,2013,usa,Surfing,16,"Blacktip shark, 4' to 5'",Feb,N,M,Unspecified,16
233,2013,french polynesia,Scuba diving,48,Lemon shark,Feb,N,M,Lemon shark,48
234,2013,usa,Surfing,43,"Tiger shark, 15'",Jan,N,M,Tiger shark,43
235,2012,australia,Surfing,23,2.5 m shark,Dec,N,M,Unspecified,23
236,2012,australia,Paddle boarding,29,"Bull shark, 2m ",Dec,N,M,Bull shark,29
237,2012,australia,Surfing,32,"Tiger shark, 6'",Dec,N,M,Tiger shark,32
238,2012,usa,Surfing,60,10' shark,Dec,N,M,Unspecified,60
239,2012,australia,Spearfishing,31,Sandtiger shark,Dec,N,M,Unspecified,31
240,2012,usa,Snorkeling,61,"Tiger shark, 10'",Nov,N,M,Tiger shark,61
241,2012,mexico,Swimming,32,2.5 m shark,Nov,Y,M,Unspecified,32
242,2012,usa,Surfing,14,2' to 3' shark,Nov,N,M,Unspecified,14
243,2012,usa,Diving,30,"Tiger shark, 15'",Nov,N,M,Tiger shark,30
244,2012,usa,Surfing,43,"Tiger shark, 8'",Nov,N,M,Tiger shark,43
245,2012,usa,Surfing,25,White shark,Oct,N,M,White shark,25
246,2012,usa,Swimming,51,"Tiger shark, 10' to 12' ",Oct,N,F,Tiger shark,51
247,2012,usa,Surfing,39,"White shark, 15' to 16' ",Oct,Y,M,White shark,39
248,2012,usa,Paddle boarding,55,6' to 8' shark,Oct,N,M,Unspecified,55
249,2012,australia,Bodyboarding,11,2m shark,Oct,N,M,Unspecified,11
250,2012,usa,Surfing,21,5' shark,Sep,N,M,Unspecified,21
251,2012,usa,Surfing,22,4' shark,Sep,N,M,Unspecified,22
252,2012,usa,Boogie boarding,8,3.5' to 4' shark,Sep,N,F,Unspecified,8
253,2012,usa,Swimming or boogie boarding,56,3.5' to 4' shark,Sep,N,F,Unspecified,56
254,2012,usa,Free diving ,56,"Lemon shark, 4' to 5' ",Aug,N,M,Lemon shark,56
255,2012,australia,Surfing,48,White shark or bronze whaler,Jul,N,M,White shark,48
256,2012,usa,Body surfing,50,Thought to involve a white shark,Jul,N,M,Unspecified,50
257,2012,australia,Surfing,24,"White shark, 5m",Jul,Y,M,White shark,24
258,2012,usa,Kayaking,52,14' to 18'shark,Jul,N,M,Unspecified,52
259,2012,south africa,Surfing,29,15' shark,Jul,N,M,Unspecified,29
260,2012,usa,Swimming,6,possibly a bull shark,Jun,N,M,Unspecified,6
261,2012,usa,Sitting in the water,16,a small reef shark,Jun,N,F,Unspecified,16
262,2012,australia,Surf skiing ,62,3 m shark,Jun,N,M,Unspecified,62
263,2012,usa,Fishing,23,Nurse shark,Jun,N,M,Unspecified,23
264,2012,usa,Swimming,18,small blacktip shark?,Jun,N,F,Unspecified,18
265,2012,usa,Swimming,16,Blacktip shark ,Jun,N,M,Unspecified,16
266,2012,australia,Surfing,42,1.5 m shark,Jun,N,M,Unspecified,42
267,2012,italy,Attempting to rescue an injured & beached shark,57,"Blue shark, 2.5m",Jun,,M,Unspecified,57
268,2012,australia,Surf skiing ,30,"White shark, 2 m",Jun,N,M,White shark,30
269,2012,usa,Wading,33,"18"" to 24"" shark",May,N,F,Unspecified,33
270,2012,mexico,Free diving / spearfishing,46,"Bull shark, 3m",May,N,M,Bull shark,46
271,2012,usa,Surfing,22,4' to 5' shark,May,N,M,Unspecified,22
272,2012,usa,Kayaking / Fishing,30,White shark,May,N,M,White shark,30
273,2012,usa,Paddle boarding,15,White shark,May,N,F,White shark,15
274,2012,usa,Surfing,28,5' shark,Apr,N,M,Unspecified,28
275,2012,south africa,Body boarding,20,"White shark, 4 m to 5m ",Apr,Y,M,White shark,20
276,2012,usa,Surfing,28,"Tiger shark, 10'  ",Apr,N,M,Tiger shark,28
277,2012,australia,Scuba diving,33,"White shark, 4m ",Mar,Y,M,White shark,33
278,2012,australia,Surfing,20,Possibly a bull shark,Mar,N,M,Unspecified,20
279,2012,usa,Surfing,61,Possibly a 5' to 6' bull shark,Mar,N,M,Unspecified,61
280,2012,usa,Surfing,15,4' to 5' shark,Mar,N,F,Unspecified,15
281,2012,usa,Surfing,17,4' to 5' shark,Mar,N,M,Unspecified,17
282,2012,australia,"Diving, feeding sharks",34,"Tawny nurse shark, 40cm",Mar,N,F,Unspecified,34
283,2012,usa,Kite Surfing,19,4' shark,Mar,N,M,Unspecified,19
284,2012,australia,Snorkeling,26,"Tiger shark, 3m",Jan,N,M,Tiger shark,26
285,2012,australia,Surfing,44,"White shark, 2.7 m",Jan,N,M,White shark,44
286,2012,south africa,Swimming,25,Thought to involve a bull shark,Jan,Y,M,Unspecified,25
287,2012,australia,Surfing,28,2 m shark,Jan,N,M,Unspecified,28
288,2012,australia,Spearfishing,34,Allegedly a 4 m tiger shark,Jan,N,M,Unspecified,34
289,2011,australia,Surfing,51,"White shark, 2.5m",Dec,N,M,White shark,51
290,2011,australia,Swimming,10,Wobbegong shark?,Nov,N,M,Unspecified,10
291,2011,australia,Diving,32,"White shark, 10'",Oct,Y,M,White shark,32
292,2011,australia,Diving,50,"Port Jackson shark, 1m",Oct,N,M,Unspecified,50
293,2011,usa,Surfing,27,No shark involvement,Sep,,M,Unspecified,27
294,2011,south africa,Swimming,43,White shark,Sep,N,M,White shark,43
295,2011,usa,Spearfishing,21,"Bull shark, 6'",Sep,N,M,Bull shark,21
296,2011,usa,Surfing,25,4' to 6' shark,Sep,N,M,Unspecified,25
297,2011,papua new guinea,Kite Surfing,30,"Tiger shark, 2m",Sep,N,M,Tiger shark,30
298,2011,australia,Body boarding,21,White shark,Sep,Y,M,White shark,21
299,2011,usa,Surfing,19,"6' shark, possibly a blactip or spinner shark",Sep,N,M,Unspecified,19
300,2011,usa,Surfing,19,6' shark,Aug,N,M,Unspecified,19
301,2011,australia,Swimming,48,Shark involvement prior to death not confirmed,Aug,,M,Unspecified,48
302,2011,south africa,Surfing,49,"White shark, >6'",Aug,Y,M,White shark,49
303,2011,usa,Wading,20s,Possibly a 5' to 6' sandtiger shark,Aug,N,F,Unspecified,20
304,2011,russia,Swimming,25,4 m shark,Aug,N,M,Unspecified,25
305,2011,french polynesia,Surfing,32,Grey reef shark ,Aug,N,M,Grey shark,32
306,2011,seychelles,Swimming or Snorkeling,30,"Bull shark, 6'",Aug,Y,M,Bull shark,30
307,2011,south africa,Surfing,29,"White shark, 3m to 4m",Jul,N,M,White shark,29
308,2011,south africa,Scuba diving,22,"Bull shark, 3m female",Jun,N,M,Bull shark,22
309,2011,usa,Playing in the surf,10,"Bull shark, 6'",Jun,N,F,Bull shark,10
310,2011,usa,Scuba diving,28,"Blacktip shark, 4'",Jun,N,M,Unspecified,28
311,2011,usa,Wading,19,3' to 4' shark,Jun,N,M,Unspecified,19
312,2011,south africa,Spearfishing,28,Zambesi shark,May,Y,M,Unspecified,28
313,2011,new caledonia,Kite Boarding,15," Tiger shark, 2.8m",May,Y,M,Tiger shark,15
314,2011,australia,Washing sand off a speared fish,17,"reef shark, 1.5m",Apr,N,M,Unspecified,17
315,2011,usa,Surfing ,49,1' to 2' shark,Apr,N,M,Unspecified,49
316,2011,new zealand,Surfing,41,possibly a bronze whaler shark,Apr,N,M,Unspecified,41
317,2011,australia,Surfing,48,"Bull shark, 2.5m",Mar,N,M,Bull shark,48
318,2011,australia,Wakeboarding,24,3 m to 4 m shark,Mar,N,F,Unspecified,24
319,2011,australia,Fishing,36,"Bull shark, 2m",,N,M,Bull shark,36
320,2011,new caledonia,Spearfishing,21,1.5 m shark,Feb,N,M,Unspecified,21
321,2011,australia,Diving for abalone,49,White shark x 2,Feb,Y,M,White shark,49
322,2011,mexico,Swimming,38,6' shark,Jan,N,F,Unspecified,38
323,2011,bahamas,Scuba diving,55,Caribbean reef shark,Jan,N,M,Unspecified,55
324,2011,australia,Swimming,7,Shark involvement not confirmed,Jan,,F,Unspecified,7
325,2010,usa,Body boarding,16,6' shark,Dec,N,M,Unspecified,16
326,2010,egypt,Snorkeling,70,"Oceanic whitetip shark, 2.5m ",Dec,Y,F,Unspecified,70
327,2010,egypt,Snorkeling,54,Mako shark ,Dec,N,M,Unspecified,54
328,2010,egypt,Snorkeling,46,Mako shark,Dec,N,M,Unspecified,46
329,2010,egypt,Snorkeling,70,"Oceanic whitetip shark, 2.5m, female",Nov,N,F,Unspecified,70
330,2010,egypt,Snorkeling,48,"Oceanic whitetip shark, 2.5m, female",Nov,N,F,Unspecified,48
331,2010,australia,Snorkeling,20,White shark,Oct,N,F,White shark,20
